strain,phage,interaction
NILS04,LF82_P4,0
ECOR15,LF82_P4,0
NILS43,LF82_P4,1
ECOR04,LF82_P4,1
IAI16,LF82_P4,0
IAI23,LF82_P4,0
NILS37,LF82_P4,1
IAI03,LF82_P4,0
ECOR24,LF82_P4,0
ROAR274,LF82_P4,1
ECOR42,LF82_P4,1
IAI50,LF82_P4,0
ROAR036,LF82_P4,0
EC6230,LF82_P4,0
025010,LF82_P4,1
NILS05,LF82_P4,1
ROAR387,LF82_P4,1
B6A1,LF82_P4,0
ECOR31,LF82_P4,0
LMR3158,LF82_P4,0
ROAR131,LF82_P4,1
ROAR059,LF82_P4,1
EDL933,LF82_P4,0
ECOR37,LF82_P4,0
ROAR029,LF82_P4,0
IAI05,LF82_P4,1
ROAR012,LF82_P4,1
NILS45,LF82_P4,1
H442,LF82_P4,0
E2052,LF82_P4,0
TW10509,LF82_P4,0
H009,LF82_P4,0
H384,LF82_P4,0
E7519,LF82_P4,0
NILS31,LF82_P4,1
370D,LF82_P4,0
E4962,LF82_P4,0
M863,LF82_P4,0
IAI32,LF82_P4,0
IAI45,LF82_P4,1
ROAR185,LF82_P4,0
H10030019BM,LF82_P4,1
C2119,LF82_P4,0
B1747,LF82_P4,0
H10040007OM,LF82_P4,1
B12I13,LF82_P4,0
E1492,LF82_P4,0
B253,LF82_P4,0
EFERGUSONIIIVAN,LF82_P4,0
ATCC35469T,LF82_P4,1
ROAR344,LF82_P4,0
B691,LF82_P4,1
ROAR176,LF82_P4,0
ROAR220,LF82_P4,0
ROAR130,LF82_P4,0
ROAR129,LF82_P4,0
ROAR292,LF82_P4,0
ROAR145,LF82_P4,1
ROAR043,LF82_P4,0
ROAR438,LF82_P4,0
ROAR291,LF82_P4,0
ROAR116,LF82_P4,0
B49,LF82_P4,0
ROAR019,LF82_P4,0
B1147,LF82_P4,0
S1109,LF82_P4,0
EALBERTIICIP107988T,LF82_P4,0
S184,LF82_P4,0
B090,LF82_P4,0
B156,LF82_P4,0
S191,LF82_P4,0
B992,LF82_P4,0
ECOR54,LF82_P5,1
DIJ06,LF82_P5,1
ECOR52,LF82_P5,0
ECOR51,LF82_P5,1
ECOR55,LF82_P5,1
IAI54,LF82_P5,1
ECOR57,LF82_P5,1
IAI72,LF82_P5,1
NILS59,LF82_P5,1
LF31,LF82_P5,1
NILS71,LF82_P5,0
AN17,LF82_P5,1
T147,LF82_P5,1
ECOR56,LF82_P5,1
NILS74,LF82_P5,1
IAI68,LF82_P5,1
IAI62,LF82_P5,0
IAI63,LF82_P5,0
NILS79,LF82_P5,0
NILS72,LF82_P5,1
IAI76,LF82_P5,0
IAI75,LF82_P5,1
NILS29,LF82_P5,1
NILS65,LF82_P5,1
IAI57,LF82_P5,0
IAI82,LF82_P5,1
IAI73,LF82_P5,0
536,LF82_P5,1
IAI64,LF82_P5,1
NILS81,LF82_P5,1
IAI55,LF82_P5,1
IAI70,LF82_P5,1
NILS82,LF82_P5,1
NILS78,LF82_P5,0
NILS57,LF82_P5,1
AL505,LF82_P5,1
NILS67,LF82_P5,0
IAI60,LF82_P5,1
IAI66,LF82_P5,1
IAI46,LF82_P5,1
LF7074,LF82_P5,1
IAI56,LF82_P5,1
IAI61,LF82_P5,1
ECOR61,LF82_P5,1
ECOR62,LF82_P5,1
IAI38,LF82_P5,1
IAI59,LF82_P5,1
IAI69,LF82_P5,1
IAI65,LF82_P5,1
NILS68,LF82_P5,1
NILS21,LF82_P5,0
NILS66,LF82_P5,1
ECOR59,LF82_P5,1
ECOR60,LF82_P5,1
IAI71,LF82_P5,1
NILS75,LF82_P5,1
IAI77,LF82_P5,1
NILS70,LF82_P5,0
ECOR53,LF82_P5,1
IAI74,LF82_P5,1
NILS54,LF82_P5,1
T145,LF82_P5,0
IAI51,LF82_P5,1
NILS62,LF82_P5,1
MT1B1,LF82_P5,0
NILS61,LF82_P5,1
LF82,LF82_P5,1
LF73,LF82_P5,1
NRG807C,LF82_P5,1
NILS26,LF82_P5,1
NILS80,LF82_P5,1
IAI53,LF82_P5,0
T205,LF82_P5,0
ED1A,LF82_P5,0
034026C1,LF82_P5,0
035004,LF82_P5,0
VDG427,LF82_P5,0
IAI48,LF82_P5,1
BEN4D,LF82_P5,0
NILS20,LF82_P5,0
034008,LF82_P5,1
001031C1,LF82_P5,0
013008,LF82_P5,0
COLF12G,LF82_P5,1
381A,LF82_P5,0
ECOR65,LF82_P5,1
IAI49,LF82_P5,1
NILS77,LF82_P5,0
IAI78,LF82_P5,1
IAI81,LF82_P5,1
IAI79,LF82_P5,1
IAI80,LF82_P5,1
ECOR64,LF82_P5,1
IAI67,LF82_P5,0
NILS28,LF82_P5,0
NILS58,LF82_P5,1
IAI47,LF82_P5,0
ECOR63,LF82_P5,1
ASP51G,LF82_P5,0
S176,LF82_P5,0
H10030035DE,LF82_P5,0
S21,LF82_P5,0
FN116,LF82_P5,1
FNB9,LF82_P5,1
FN126,LF82_P5,0
S111,LF82_P5,1
FN89,LF82_P5,0
NILS64,LF82_P5,0
LI10,LF82_P5,0
NILS25,LF82_P5,0
NILS55,LF82_P5,0
NILS27,LF82_P5,0
NILS73,LF82_P5,0
NILS19,LF82_P5,0
LM33,LF82_P5,0
NILS44,LF82_P5,0
NILS53,LF82_P5,0
NILS76,LF82_P5,0
NILS63,LF82_P5,1
NILS69,LF82_P5,0
ECOR66,LF82_P5,1
E234869,LF82_P5,0
FNB7,LF82_P5,0
DEC2A,LF82_P5,0
DEC1A,LF82_P5,0
FNB4,LF82_P5,0
BDX09,LF82_P5,1
AN03,LF82_P5,1
H10010155MI,LF82_P5,0
H10010034SM,LF82_P5,0
NILS60,LF82_P5,1
H10010053KC,LF82_P5,0
H10030054PP,LF82_P5,1
B1932,LF82_P5,1
ROAR434,LF82_P5,1
001023,LF82_P5,1
003026,LF82_P5,1
921A,LF82_P5,0
916A,LF82_P5,0
E1426,LF82_P5,0
H95,LF82_P5,1
H10020069VG,LF82_P5,1
ECOR38,LF82_P5,1
ECOR39,LF82_P5,1
ECOR41,LF82_P5,0
ECOR40,LF82_P5,0
IAI39,LF82_P5,1
IAI36,LF82_P5,1
ECOR35,LF82_P5,1
IAI58,LF82_P5,0
ECOR36,LF82_P5,1
NILS36,LF82_P5,0
IAI35,LF82_P5,1
IAI33,LF82_P5,1
NILS01,LF82_P5,0
PDP21,LF82_P5,0
NILS39,LF82_P5,0
NILS50,LF82_P5,1
NILS46,LF82_P5,1
LM08,LF82_P5,0
NILS18,LF82_P5,0
LM02,LF82_P5,0
DIJ07,LF82_P5,0
LM40,LF82_P5,0
BDX03,LF82_P5,0
IAI30,LF82_P5,0
IAI27,LF82_P5,0
ECOR47,LF82_P5,0
IAI24,LF82_P5,0
ECOR44,LF82_P5,0
NILS38,LF82_P5,0
NILS51,LF82_P5,1
ECOR49,LF82_P5,1
ECOR50,LF82_P5,1
NILS56,LF82_P5,1
ECOR46,LF82_P5,0
NILS42,LF82_P5,1
NILS52,LF82_P5,1
ECOR48,LF82_P5,0
NILS23,LF82_P5,0
ROAR178,LF82_P5,0
ROAR419,LF82_P5,1
H10040017BM,LF82_P5,1
H14,LF82_P5,0
H10030010GJ,LF82_P5,0
ROAR400,LF82_P5,0
ROAR205,LF82_P5,0
BCH953,LF82_P5,1
H10020064EM,LF82_P5,1
NILS49,LF82_P5,1
LM07,LF82_P5,1
H10010027SG,LF82_P5,0
H10050058MA,LF82_P5,1
NILS24,LF82_P5,0
ROAR334,LF82_P5,1
ROAR047,LF82_P5,1
ROAR072,LF82_P5,1
ROAR061,LF82_P5,1
ROAR082,LF82_P5,1
H4,LF82_P5,1
H10010093RA,LF82_P5,1
H48,LF82_P5,1
H47,LF82_P5,1
H70,LF82_P5,1
H10010125BM,LF82_P5,1
ECOR34,LF82_P5,1
ECOR32,LF82_P5,1
ECOR33,LF82_P5,1
ECOR30,LF82_P5,1
ECOR29,LF82_P5,1
LF50,LF82_P5,1
IAI01,LF82_P5,1
ECOR67,LF82_P5,1
NILS02,LF82_P5,0
ECOR26,LF82_P5,0
ECOR27,LF82_P5,0
ECOR28,LF82_P5,0
ECOR45,LF82_P5,0
55989,LF82_P5,0
IAI02,LF82_P5,0
NILS33,LF82_P5,0
IAI21,LF82_P5,1
ECOR69,LF82_P5,0
ECOR58,LF82_P5,1
ECOR72,LF82_P5,0
H10030071CJ,LF82_P5,1
NILS47,LF82_P5,1
H10050012LM,LF82_P5,1
ECOR70,LF82_P5,0
H10070037HD,LF82_P5,1
H10030079GR,LF82_P5,1
H10010131CA,LF82_P5,0
H10030120PR,LF82_P5,1
H10030088BJ,LF82_P5,0
ECOR71,LF82_P5,1
H10020060CT,LF82_P5,0
NILS15,LF82_P5,0
IAI43,LF82_P5,1
H10060022LR,LF82_P5,1
H10030116VR,LF82_P5,0
H10010020MO,LF82_P5,1
H10030090VJ,LF82_P5,1
H10010013LJ,LF82_P5,1
H10030105CR,LF82_P5,0
H10030115LR,LF82_P5,1
PDP110,LF82_P5,0
IAI18,LF82_P5,1
H10070015DG,LF82_P5,0
NILS48,LF82_P5,0
IAI41,LF82_P5,1
H10040021WI,LF82_P5,0
H10020007MM,LF82_P5,0
NILS34,LF82_P5,1
NILS40,LF82_P5,0
H10020011MG,LF82_P5,0
H10010003SJ,LF82_P5,1
IAI42,LF82_P5,1
H10010154TK,LF82_P5,1
PDP351,LF82_P5,0
H10010121QJ,LF82_P5,1
IAI08,LF82_P5,1
H10060003SL,LF82_P5,0
IAI40,LF82_P5,0
IAI37,LF82_P5,1
ECOR11,LF82_P5,1
NILS09,LF82_P5,0
NILS30,LF82_P5,0
NILS32,LF82_P5,0
IAI10,LF82_P5,0
IAI31,LF82_P5,0
IAI04,LF82_P5,0
AN24,LF82_P5,0
NILS06,LF82_P5,0
NILS22,LF82_P5,0
NAN33,LF82_P5,0
IAI34,LF82_P5,0
NIC06,LF82_P5,0
NILS16,LF82_P5,0
IAI17,LF82_P5,1
IAI15,LF82_P5,1
ECOR05,LF82_P5,0
IAI11,LF82_P5,0
NILS35,LF82_P5,0
ECOR10,LF82_P5,0
ECOR43A,LF82_P5,0
ECOR12,LF82_P5,0
IAI14,LF82_P5,0
IAI19,LF82_P5,0
IAI20,LF82_P5,1
ECOR25,LF82_P5,0
IAI26,LF82_P5,0
ECOR01,LF82_P5,0
IAI44,LF82_P5,0
ECOR08,LF82_P5,0
NILS13,LF82_P5,0
IAI07,LF82_P5,0
NILS10,LF82_P5,1
BE,LF82_P5,1
NILS07,LF82_P5,0
ECOR09,LF82_P5,0
NILS14,LF82_P5,0
ECOR13,LF82_P5,1
ECOR03,LF82_P5,0
NILS11,LF82_P5,0
IAI06,LF82_P5,1
ECOR02,LF82_P5,0
IAI13,LF82_P5,0
IAI09,LF82_P5,0
ECOR14,LF82_P5,0
IAI25,LF82_P5,0
IAI22,LF82_P5,0
IAI28,LF82_P5,0
NILS08,LF82_P5,0
ECOR07,LF82_P5,0
IAI29,LF82_P5,0
IAI12,LF82_P5,0
ECOR21,LF82_P5,1
ECOR20,LF82_P5,0
ECOR18,LF82_P5,1
ECOR19,LF82_P5,0
NILS17,LF82_P5,0
NILS12,LF82_P5,0
ECOR06,LF82_P5,0
ECOR23,LF82_P5,1
NILS41,LF82_P5,1
BL21,LF82_P5,1
ECOR17,LF82_P5,0
NILS03,LF82_P5,0
ECOR22,LF82_P5,1
ECOR16,LF82_P5,1
NILS04,LF82_P5,0
ECOR15,LF82_P5,0
NILS43,LF82_P5,1
ECOR04,LF82_P5,1
IAI16,LF82_P5,0
IAI23,LF82_P5,0
NILS37,LF82_P5,1
IAI03,LF82_P5,0
ECOR24,LF82_P5,0
ROAR274,LF82_P5,1
ECOR42,LF82_P5,1
IAI50,LF82_P5,0
ROAR036,LF82_P5,0
EC6230,LF82_P5,0
025010,LF82_P5,1
NILS05,LF82_P5,1
ROAR387,LF82_P5,1
B6A1,LF82_P5,0
ECOR31,LF82_P5,0
LMR3158,LF82_P5,0
ROAR131,LF82_P5,1
ROAR059,LF82_P5,1
EDL933,LF82_P5,0
ECOR37,LF82_P5,0
ROAR029,LF82_P5,0
IAI05,LF82_P5,1
ROAR012,LF82_P5,1
NILS45,LF82_P5,1
H442,LF82_P5,0
E2052,LF82_P5,0
TW10509,LF82_P5,0
H009,LF82_P5,0
H384,LF82_P5,0
E7519,LF82_P5,0
NILS31,LF82_P5,0
370D,LF82_P5,0
E4962,LF82_P5,0
M863,LF82_P5,0
IAI32,LF82_P5,0
IAI45,LF82_P5,1
ROAR185,LF82_P5,0
H10030019BM,LF82_P5,0
C2119,LF82_P5,0
B1747,LF82_P5,0
H10040007OM,LF82_P5,1
B12I13,LF82_P5,0
E1492,LF82_P5,0
B253,LF82_P5,0
EFERGUSONIIIVAN,LF82_P5,0
ATCC35469T,LF82_P5,1
ROAR344,LF82_P5,0
B691,LF82_P5,1
ROAR176,LF82_P5,0
ROAR220,LF82_P5,0
ROAR130,LF82_P5,0
ROAR129,LF82_P5,0
ROAR292,LF82_P5,0
ROAR145,LF82_P5,1
ROAR043,LF82_P5,0
ROAR438,LF82_P5,0
ROAR291,LF82_P5,0
ROAR116,LF82_P5,0
B49,LF82_P5,0
ROAR019,LF82_P5,0
B1147,LF82_P5,0
S1109,LF82_P5,0
EALBERTIICIP107988T,LF82_P5,0
S184,LF82_P5,0
B090,LF82_P5,0
B156,LF82_P5,0
S191,LF82_P5,0
B992,LF82_P5,0
ECOR54,LF82_P6,1
DIJ06,LF82_P6,1
ECOR52,LF82_P6,0
ECOR51,LF82_P6,1
ECOR55,LF82_P6,1
IAI54,LF82_P6,1
ECOR57,LF82_P6,1
IAI72,LF82_P6,1
NILS59,LF82_P6,1
LF31,LF82_P6,1
NILS71,LF82_P6,0
AN17,LF82_P6,1
T147,LF82_P6,1
ECOR56,LF82_P6,1
NILS74,LF82_P6,1
IAI68,LF82_P6,1
IAI62,LF82_P6,0
IAI63,LF82_P6,0
NILS79,LF82_P6,0
NILS72,LF82_P6,0
IAI76,LF82_P6,0
IAI75,LF82_P6,1
NILS29,LF82_P6,1
NILS65,LF82_P6,1
IAI57,LF82_P6,0
IAI82,LF82_P6,1
IAI73,LF82_P6,0
536,LF82_P6,1
IAI64,LF82_P6,1
NILS81,LF82_P6,1
IAI55,LF82_P6,1
IAI70,LF82_P6,1
NILS82,LF82_P6,1
NILS78,LF82_P6,0
NILS57,LF82_P6,1
AL505,LF82_P6,1
NILS67,LF82_P6,0
IAI60,LF82_P6,1
IAI66,LF82_P6,1
IAI46,LF82_P6,1
LF7074,LF82_P6,1
IAI56,LF82_P6,1
IAI61,LF82_P6,1
ECOR61,LF82_P6,1
ECOR62,LF82_P6,1
IAI38,LF82_P6,1
IAI59,LF82_P6,1
IAI69,LF82_P6,1
IAI65,LF82_P6,1
NILS68,LF82_P6,1
NILS21,LF82_P6,1
NILS66,LF82_P6,1
ECOR59,LF82_P6,1
ECOR60,LF82_P6,1
IAI71,LF82_P6,1
NILS75,LF82_P6,1
IAI77,LF82_P6,1
NILS70,LF82_P6,0
ECOR53,LF82_P6,1
IAI74,LF82_P6,1
NILS54,LF82_P6,1
T145,LF82_P6,0
IAI51,LF82_P6,1
NILS62,LF82_P6,1
MT1B1,LF82_P6,0
NILS61,LF82_P6,1
LF82,LF82_P6,1
LF73,LF82_P6,1
NRG807C,LF82_P6,1
NILS26,LF82_P6,1
NILS80,LF82_P6,1
IAI53,LF82_P6,0
T205,LF82_P6,0
ED1A,LF82_P6,0
034026C1,LF82_P6,0
035004,LF82_P6,0
VDG427,LF82_P6,1
IAI48,LF82_P6,1
BEN4D,LF82_P6,1
NILS20,LF82_P6,0
034008,LF82_P6,1
001031C1,LF82_P6,0
013008,LF82_P6,0
COLF12G,LF82_P6,1
381A,LF82_P6,1
ECOR65,LF82_P6,1
IAI49,LF82_P6,1
NILS77,LF82_P6,0
IAI78,LF82_P6,1
IAI81,LF82_P6,1
IAI79,LF82_P6,1
IAI80,LF82_P6,1
ECOR64,LF82_P6,1
IAI67,LF82_P6,0
NILS28,LF82_P6,0
NILS58,LF82_P6,1
IAI47,LF82_P6,0
ECOR63,LF82_P6,1
ASP51G,LF82_P6,0
S176,LF82_P6,0
H10030035DE,LF82_P6,1
S21,LF82_P6,0
FN116,LF82_P6,1
FNB9,LF82_P6,1
FN126,LF82_P6,0
S111,LF82_P6,1
FN89,LF82_P6,0
NILS64,LF82_P6,0
LI10,LF82_P6,0
NILS25,LF82_P6,0
NILS55,LF82_P6,0
NILS27,LF82_P6,0
NILS73,LF82_P6,0
NILS19,LF82_P6,0
LM33,LF82_P6,0
NILS44,LF82_P6,0
NILS53,LF82_P6,0
NILS76,LF82_P6,0
NILS63,LF82_P6,1
NILS69,LF82_P6,0
ECOR66,LF82_P6,1
E234869,LF82_P6,0
FNB7,LF82_P6,0
DEC2A,LF82_P6,0
DEC1A,LF82_P6,0
FNB4,LF82_P6,0
BDX09,LF82_P6,1
AN03,LF82_P6,1
H10010155MI,LF82_P6,0
H10010034SM,LF82_P6,0
NILS60,LF82_P6,1
H10010053KC,LF82_P6,0
H10030054PP,LF82_P6,1
B1932,LF82_P6,1
ROAR434,LF82_P6,1
001023,LF82_P6,1
003026,LF82_P6,1
921A,LF82_P6,0
916A,LF82_P6,0
E1426,LF82_P6,0
H95,LF82_P6,1
H10020069VG,LF82_P6,1
ECOR38,LF82_P6,1
ECOR39,LF82_P6,1
ECOR41,LF82_P6,0
ECOR40,LF82_P6,0
IAI39,LF82_P6,1
IAI36,LF82_P6,1
ECOR35,LF82_P6,1
IAI58,LF82_P6,0
ECOR36,LF82_P6,1
NILS36,LF82_P6,0
IAI35,LF82_P6,1
IAI33,LF82_P6,1
NILS01,LF82_P6,0
PDP21,LF82_P6,0
NILS39,LF82_P6,0
NILS50,LF82_P6,0
NILS46,LF82_P6,0
LM08,LF82_P6,0
NILS18,LF82_P6,1
LM02,LF82_P6,0
DIJ07,LF82_P6,0
LM40,LF82_P6,0
BDX03,LF82_P6,1
IAI30,LF82_P6,0
IAI27,LF82_P6,0
ECOR47,LF82_P6,0
IAI24,LF82_P6,0
ECOR44,LF82_P6,0
NILS38,LF82_P6,0
NILS51,LF82_P6,1
ECOR49,LF82_P6,1
ECOR50,LF82_P6,1
NILS56,LF82_P6,1
ECOR46,LF82_P6,0
NILS42,LF82_P6,1
NILS52,LF82_P6,1
ECOR48,LF82_P6,1
NILS23,LF82_P6,0
ROAR178,LF82_P6,0
ROAR419,LF82_P6,1
H10040017BM,LF82_P6,1
H14,LF82_P6,0
H10030010GJ,LF82_P6,0
ROAR400,LF82_P6,0
ROAR205,LF82_P6,0
BCH953,LF82_P6,1
H10020064EM,LF82_P6,1
NILS49,LF82_P6,1
LM07,LF82_P6,1
H10010027SG,LF82_P6,0
H10050058MA,LF82_P6,1
NILS24,LF82_P6,0
ROAR334,LF82_P6,1
ROAR047,LF82_P6,1
ROAR072,LF82_P6,1
ROAR061,LF82_P6,1
ROAR082,LF82_P6,1
H4,LF82_P6,1
H10010093RA,LF82_P6,1
H48,LF82_P6,1
H47,LF82_P6,1
H70,LF82_P6,1
H10010125BM,LF82_P6,1
ECOR34,LF82_P6,1
ECOR32,LF82_P6,1
ECOR33,LF82_P6,1
ECOR30,LF82_P6,1
ECOR29,LF82_P6,1
LF50,LF82_P6,1
IAI01,LF82_P6,1
ECOR67,LF82_P6,1
NILS02,LF82_P6,0
ECOR26,LF82_P6,0
ECOR27,LF82_P6,0
ECOR28,LF82_P6,0
ECOR45,LF82_P6,0
55989,LF82_P6,0
IAI02,LF82_P6,0
NILS33,LF82_P6,0
IAI21,LF82_P6,1
ECOR69,LF82_P6,0
ECOR58,LF82_P6,1
ECOR72,LF82_P6,0
H10030071CJ,LF82_P6,1
NILS47,LF82_P6,1
H10050012LM,LF82_P6,1
ECOR70,LF82_P6,0
H10070037HD,LF82_P6,1
H10030079GR,LF82_P6,1
H10010131CA,LF82_P6,0
H10030120PR,LF82_P6,1
H10030088BJ,LF82_P6,0
ECOR71,LF82_P6,1
H10020060CT,LF82_P6,0
NILS15,LF82_P6,0
IAI43,LF82_P6,1
H10060022LR,LF82_P6,1
H10030116VR,LF82_P6,0
H10010020MO,LF82_P6,1
H10030090VJ,LF82_P6,1
H10010013LJ,LF82_P6,1
H10030105CR,LF82_P6,0
H10030115LR,LF82_P6,0
PDP110,LF82_P6,0
IAI18,LF82_P6,1
H10070015DG,LF82_P6,0
NILS48,LF82_P6,0
IAI41,LF82_P6,1
H10040021WI,LF82_P6,0
H10020007MM,LF82_P6,0
NILS34,LF82_P6,1
NILS40,LF82_P6,0
H10020011MG,LF82_P6,0
H10010003SJ,LF82_P6,1
IAI42,LF82_P6,1
H10010154TK,LF82_P6,1
PDP351,LF82_P6,0
H10010121QJ,LF82_P6,1
IAI08,LF82_P6,1
H10060003SL,LF82_P6,0
IAI40,LF82_P6,0
IAI37,LF82_P6,1
ECOR11,LF82_P6,1
NILS09,LF82_P6,0
NILS30,LF82_P6,0
NILS32,LF82_P6,0
IAI10,LF82_P6,1
IAI31,LF82_P6,0
IAI04,LF82_P6,0
AN24,LF82_P6,0
NILS06,LF82_P6,0
NILS22,LF82_P6,0
NAN33,LF82_P6,0
IAI34,LF82_P6,0
NIC06,LF82_P6,0
NILS16,LF82_P6,0
IAI17,LF82_P6,1
IAI15,LF82_P6,1
ECOR05,LF82_P6,0
IAI11,LF82_P6,0
NILS35,LF82_P6,0
ECOR10,LF82_P6,0
ECOR43A,LF82_P6,0
ECOR12,LF82_P6,1
IAI14,LF82_P6,0
IAI19,LF82_P6,0
IAI20,LF82_P6,0
ECOR25,LF82_P6,0
IAI26,LF82_P6,0
ECOR01,LF82_P6,0
IAI44,LF82_P6,0
ECOR08,LF82_P6,0
NILS13,LF82_P6,0
IAI07,LF82_P6,0
NILS10,LF82_P6,1
BE,LF82_P6,1
NILS07,LF82_P6,0
ECOR09,LF82_P6,1
NILS14,LF82_P6,0
ECOR13,LF82_P6,1
ECOR03,LF82_P6,0
NILS11,LF82_P6,1
IAI06,LF82_P6,0
ECOR02,LF82_P6,1
IAI13,LF82_P6,0
IAI09,LF82_P6,0
ECOR14,LF82_P6,0
IAI25,LF82_P6,0
IAI22,LF82_P6,0
IAI28,LF82_P6,0
NILS08,LF82_P6,0
ECOR07,LF82_P6,0
IAI29,LF82_P6,1
IAI12,LF82_P6,0
ECOR21,LF82_P6,1
ECOR20,LF82_P6,0
ECOR18,LF82_P6,1
ECOR19,LF82_P6,0
NILS17,LF82_P6,0
NILS12,LF82_P6,0
ECOR06,LF82_P6,0
ECOR23,LF82_P6,1
NILS41,LF82_P6,1
BL21,LF82_P6,1
ECOR17,LF82_P6,0
NILS03,LF82_P6,0
ECOR22,LF82_P6,1
ECOR16,LF82_P6,1
NILS04,LF82_P6,0
ECOR15,LF82_P6,0
NILS43,LF82_P6,1
ECOR04,LF82_P6,1
IAI16,LF82_P6,0
IAI23,LF82_P6,0
NILS37,LF82_P6,1
IAI03,LF82_P6,0
ECOR24,LF82_P6,1
ROAR274,LF82_P6,1
ECOR42,LF82_P6,1
IAI50,LF82_P6,0
ROAR036,LF82_P6,0
EC6230,LF82_P6,1
025010,LF82_P6,1
NILS05,LF82_P6,1
ROAR387,LF82_P6,1
B6A1,LF82_P6,0
ECOR31,LF82_P6,0
LMR3158,LF82_P6,0
ROAR131,LF82_P6,1
ROAR059,LF82_P6,1
EDL933,LF82_P6,0
ECOR37,LF82_P6,0
ROAR029,LF82_P6,0
IAI05,LF82_P6,1
ROAR012,LF82_P6,1
NILS45,LF82_P6,1
H442,LF82_P6,0
E2052,LF82_P6,0
TW10509,LF82_P6,0
H009,LF82_P6,0
H384,LF82_P6,0
E7519,LF82_P6,0
NILS31,LF82_P6,0
370D,LF82_P6,0
E4962,LF82_P6,0
M863,LF82_P6,0
IAI32,LF82_P6,0
IAI45,LF82_P6,1
ROAR185,LF82_P6,1
H10030019BM,LF82_P6,0
C2119,LF82_P6,0
B1747,LF82_P6,0
H10040007OM,LF82_P6,1
B12I13,LF82_P6,0
E1492,LF82_P6,0
B253,LF82_P6,0
EFERGUSONIIIVAN,LF82_P6,0
ATCC35469T,LF82_P6,1
ROAR344,LF82_P6,0
B691,LF82_P6,1
ROAR176,LF82_P6,0
ROAR220,LF82_P6,0
ROAR130,LF82_P6,0
ROAR129,LF82_P6,0
ROAR292,LF82_P6,0
ROAR145,LF82_P6,0
ROAR043,LF82_P6,0
ROAR438,LF82_P6,0
ROAR291,LF82_P6,0
ROAR116,LF82_P6,0
B49,LF82_P6,0
ROAR019,LF82_P6,0
B1147,LF82_P6,0
S1109,LF82_P6,0
EALBERTIICIP107988T,LF82_P6,0
S184,LF82_P6,0
B090,LF82_P6,0
B156,LF82_P6,0
S191,LF82_P6,0
B992,LF82_P6,0
ECOR54,LF82_P9,1
DIJ06,LF82_P9,1
ECOR52,LF82_P9,1
ECOR51,LF82_P9,1
ECOR55,LF82_P9,1
IAI54,LF82_P9,1
ECOR57,LF82_P9,1
IAI72,LF82_P9,1
NILS59,LF82_P9,1
LF31,LF82_P9,1
NILS71,LF82_P9,1
AN17,LF82_P9,1
T147,LF82_P9,1
ECOR56,LF82_P9,1
NILS74,LF82_P9,1
IAI68,LF82_P9,1
IAI62,LF82_P9,0
IAI63,LF82_P9,0
NILS79,LF82_P9,1
NILS72,LF82_P9,1
IAI76,LF82_P9,0
IAI75,LF82_P9,1
NILS29,LF82_P9,1
NILS65,LF82_P9,1
IAI57,LF82_P9,1
IAI82,LF82_P9,1
IAI73,LF82_P9,1
536,LF82_P9,1
IAI64,LF82_P9,1
NILS81,LF82_P9,1
IAI55,LF82_P9,1
IAI70,LF82_P9,1
NILS82,LF82_P9,1
NILS78,LF82_P9,1
NILS57,LF82_P9,1
AL505,LF82_P9,1
NILS67,LF82_P9,0
IAI60,LF82_P9,1
IAI66,LF82_P9,1
IAI46,LF82_P9,1
LF7074,LF82_P9,1
IAI56,LF82_P9,1
IAI61,LF82_P9,1
ECOR61,LF82_P9,1
ECOR62,LF82_P9,1
IAI38,LF82_P9,1
IAI59,LF82_P9,1
IAI69,LF82_P9,1
IAI65,LF82_P9,1
NILS68,LF82_P9,1
NILS21,LF82_P9,1
NILS66,LF82_P9,1
ECOR59,LF82_P9,1
ECOR60,LF82_P9,1
IAI71,LF82_P9,1
NILS75,LF82_P9,1
IAI77,LF82_P9,1
NILS70,LF82_P9,0
ECOR53,LF82_P9,1
IAI74,LF82_P9,1
NILS54,LF82_P9,1
T145,LF82_P9,0
IAI51,LF82_P9,1
NILS62,LF82_P9,1
MT1B1,LF82_P9,1
NILS61,LF82_P9,1
LF82,LF82_P9,1
LF73,LF82_P9,1
NRG807C,LF82_P9,1
NILS26,LF82_P9,1
NILS80,LF82_P9,1
IAI53,LF82_P9,0
T205,LF82_P9,0
ED1A,LF82_P9,0
034026C1,LF82_P9,0
035004,LF82_P9,1
VDG427,LF82_P9,0
IAI48,LF82_P9,1
BEN4D,LF82_P9,0
NILS20,LF82_P9,1
034008,LF82_P9,0
001031C1,LF82_P9,0
013008,LF82_P9,0
COLF12G,LF82_P9,1
381A,LF82_P9,0
ECOR65,LF82_P9,1
IAI49,LF82_P9,1
NILS77,LF82_P9,0
IAI78,LF82_P9,1
IAI81,LF82_P9,1
IAI79,LF82_P9,1
IAI80,LF82_P9,1
ECOR64,LF82_P9,1
IAI67,LF82_P9,0
NILS28,LF82_P9,0
NILS58,LF82_P9,1
IAI47,LF82_P9,0
ECOR63,LF82_P9,1
ASP51G,LF82_P9,0
S176,LF82_P9,0
H10030035DE,LF82_P9,0
S21,LF82_P9,0
FN116,LF82_P9,1
FNB9,LF82_P9,1
FN126,LF82_P9,0
S111,LF82_P9,1
FN89,LF82_P9,0
